metric_or_molecule	field	before_value	after_value	status	notes
Hz_NH23	ADC2_dEST_meV	-383.5	-383.5	UNCHANGED	
Hz_NH23	SCSCC2_dEST_meV	-557.9	-557.9	UNCHANGED	
Hz_NH23	SCSCC2_S1_eV	3.99317	3.99317	UNCHANGED	
Hz_NH23	SCSCC2_T1_eV	4.55104	4.55104	UNCHANGED	
Hz_NH23	abs_ddEST_meV	174.4	174.4	UNCHANGED	
Hz_NH23	ADC2_dEST_meV_abs	383.5	383.5	UNCHANGED	
Hz_NH23	SCSCC2_dEST_meV_abs	557.9	557.9	UNCHANGED	
Hz_NH23	sign_agree	True	True	UNCHANGED	
Hz_DMAC1_NPh21_CF31	ADC2_dEST_meV	-120.3	-120.3	UNCHANGED	
Hz_DMAC1_NPh21_CF31	SCSCC2_dEST_meV	-220.3	-220.3	UNCHANGED	
Hz_DMAC1_NPh21_CF31	SCSCC2_S1_eV	3.46991	3.46991	UNCHANGED	
Hz_DMAC1_NPh21_CF31	SCSCC2_T1_eV	3.69024	3.69024	UNCHANGED	
Hz_DMAC1_NPh21_CF31	abs_ddEST_meV	100.0	100.0	UNCHANGED	
Hz_DMAC1_NPh21_CF31	ADC2_dEST_meV_abs	120.3	120.3	UNCHANGED	
Hz_DMAC1_NPh21_CF31	SCSCC2_dEST_meV_abs	220.3	220.3	UNCHANGED	
Hz_DMAC1_NPh21_CF31	sign_agree	True	True	UNCHANGED	
Hz_NPh22_SO2Ph1	ADC2_dEST_meV	-95.3	-95.3	UNCHANGED	
Hz_NPh22_SO2Ph1	SCSCC2_dEST_meV	-214.4	-214.4	UNCHANGED	
Hz_NPh22_SO2Ph1	SCSCC2_S1_eV	3.47724	3.47724	UNCHANGED	
Hz_NPh22_SO2Ph1	SCSCC2_T1_eV	3.69168	3.69168	UNCHANGED	
Hz_NPh22_SO2Ph1	abs_ddEST_meV	119.1	119.1	UNCHANGED	
Hz_NPh22_SO2Ph1	ADC2_dEST_meV_abs	95.3	95.3	UNCHANGED	
Hz_NPh22_SO2Ph1	SCSCC2_dEST_meV_abs	214.4	214.4	UNCHANGED	
Hz_NPh22_SO2Ph1	sign_agree	True	True	UNCHANGED	
Hz_POZ1_NPh21_CF31	ADC2_dEST_meV	-9.7	-9.7	UNCHANGED	
Hz_POZ1_NPh21_CF31	SCSCC2_dEST_meV	-165.6	-165.6	UNCHANGED	
Hz_POZ1_NPh21_CF31	SCSCC2_S1_eV	3.46277	3.46277	UNCHANGED	
Hz_POZ1_NPh21_CF31	SCSCC2_T1_eV	3.62834	3.62834	UNCHANGED	
Hz_POZ1_NPh21_CF31	abs_ddEST_meV	155.9	155.9	UNCHANGED	
Hz_POZ1_NPh21_CF31	ADC2_dEST_meV_abs	9.7	9.7	UNCHANGED	
Hz_POZ1_NPh21_CF31	SCSCC2_dEST_meV_abs	165.6	165.6	UNCHANGED	
Hz_POZ1_NPh21_CF31	sign_agree	True	True	UNCHANGED	
Hz_NEt22_CF31	ADC2_dEST_meV	-35.9	-35.9	UNCHANGED	
Hz_NEt22_CF31	SCSCC2_dEST_meV	-111.1	-111.1	UNCHANGED	
Hz_NEt22_CF31	SCSCC2_S1_eV	3.67894	3.67894	UNCHANGED	
Hz_NEt22_CF31	SCSCC2_T1_eV	3.79007	3.79007	UNCHANGED	
Hz_NEt22_CF31	abs_ddEST_meV	75.2	75.2	UNCHANGED	
Hz_NEt22_CF31	ADC2_dEST_meV_abs	35.9	35.9	UNCHANGED	
Hz_NEt22_CF31	SCSCC2_dEST_meV_abs	111.1	111.1	UNCHANGED	
Hz_NEt22_CF31	sign_agree	True	True	UNCHANGED	
Hz_DMAC2_SO2Ph1	ADC2_dEST_meV	-32.0	-32.0	UNCHANGED	
Hz_DMAC2_SO2Ph1	SCSCC2_dEST_meV	-225.8	-225.8	UNCHANGED	
Hz_DMAC2_SO2Ph1	SCSCC2_S1_eV	3.47798	3.47798	UNCHANGED	
Hz_DMAC2_SO2Ph1	SCSCC2_T1_eV	3.70377	3.70377	UNCHANGED	
Hz_DMAC2_SO2Ph1	abs_ddEST_meV	193.7	193.7	UNCHANGED	
Hz_DMAC2_SO2Ph1	ADC2_dEST_meV_abs	32.0	32.0	UNCHANGED	
Hz_DMAC2_SO2Ph1	SCSCC2_dEST_meV_abs	225.8	225.8	UNCHANGED	
Hz_DMAC2_SO2Ph1	sign_agree	True	True	UNCHANGED	
Hz_NH22_SO2Ph1	ADC2_dEST_meV	-64.0	-64.0	UNCHANGED	
Hz_NH22_SO2Ph1	SCSCC2_dEST_meV	-163.4	-163.4	UNCHANGED	
Hz_NH22_SO2Ph1	SCSCC2_S1_eV	3.6036	3.6036	UNCHANGED	
Hz_NH22_SO2Ph1	SCSCC2_T1_eV	3.76704	3.76704	UNCHANGED	
Hz_NH22_SO2Ph1	abs_ddEST_meV	99.4	99.4	UNCHANGED	
Hz_NH22_SO2Ph1	ADC2_dEST_meV_abs	64.0	64.0	UNCHANGED	
Hz_NH22_SO2Ph1	SCSCC2_dEST_meV_abs	163.4	163.4	UNCHANGED	
Hz_NH22_SO2Ph1	sign_agree	True	True	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	ADC2_dEST_meV	-66.0	-66.0	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	SCSCC2_dEST_meV	-208.6	-208.6	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	SCSCC2_S1_eV	3.47411	3.47411	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	SCSCC2_T1_eV	3.68269	3.68269	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	abs_ddEST_meV	142.6	142.6	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	ADC2_dEST_meV_abs	66.0	66.0	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	SCSCC2_dEST_meV_abs	208.6	208.6	UNCHANGED	
Hz_DMAC1_NPh21_SO2Ph1	sign_agree	True	True	UNCHANGED	
Hz_Cz1_NPh21_CF31	ADC2_dEST_meV	-136.0	-136.0	UNCHANGED	
Hz_Cz1_NPh21_CF31	SCSCC2_dEST_meV	-237.4	-237.4	UNCHANGED	
Hz_Cz1_NPh21_CF31	SCSCC2_S1_eV	3.40203	3.40203	UNCHANGED	
Hz_Cz1_NPh21_CF31	SCSCC2_T1_eV	3.63948	3.63948	UNCHANGED	
Hz_Cz1_NPh21_CF31	abs_ddEST_meV	101.5	101.5	UNCHANGED	
Hz_Cz1_NPh21_CF31	ADC2_dEST_meV_abs	136.0	136.0	UNCHANGED	
Hz_Cz1_NPh21_CF31	SCSCC2_dEST_meV_abs	237.4	237.4	UNCHANGED	
Hz_Cz1_NPh21_CF31	sign_agree	True	True	UNCHANGED	
