mol_id	method	file_role	relative_path	sha256	size_bytes	basis_status	method_banner_status	runtime_banner_status	scheduler_log_status	local_raw_status	notes
Hz_NH23	SCS-CC2/def2-SVP	ricc2_sing.out	adc2_batch2_raw/Hz_NH23_scscc2/ricc2_scscc2_sing.out	d784d5c6fae54ec6abaca91c9fe36dc758f7c666f9d91a1e29cafee9c97b8c26	45012	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node7	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_NH23	SCS-CC2/def2-SVP	ricc2_trip.out	adc2_batch2_raw/Hz_NH23_scscc2/ricc2_scscc2_trip.out	580eaf0138be351c01539e7573ddf8c47f39996e46bc45a16f76c5e11725a514	36373	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node7	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_DMAC1_NPh21_CF31	SCS-CC2/def2-SVP	ricc2_sing.out	adc2_batch2_raw/Hz_DMAC1_NPh21_CF31/turbo_sing_scscc2/ricc2_scscc2_sing.out	c8688b4249f67f5193166efd2701d1c46f3e9917c9b585025e301f7494538cfa	61539	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node1	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_DMAC1_NPh21_CF31	SCS-CC2/def2-SVP	ricc2_trip.out	adc2_batch2_raw/Hz_DMAC1_NPh21_CF31/turbo_trip_scscc2/ricc2_scscc2_trip.out	e88033346686becddb9e23513338c3aebda52a2c241815d8a673e8e45f7eedb6	32138	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node1	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_NPh22_SO2Ph1	SCS-CC2/def2-SVP	ricc2_sing.out	adc2_batch2_raw/Hz_NPh22_SO2Ph1/turbo_sing_scscc2/ricc2_scscc2_sing.out	797c6a206b6a2d9da587cb8ac8f23b4014f6afb2d05dd929a1298d3912f8247b	63618	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node1	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_NPh22_SO2Ph1	SCS-CC2/def2-SVP	ricc2_trip.out	adc2_batch2_raw/Hz_NPh22_SO2Ph1/turbo_trip_scscc2/ricc2_scscc2_trip.out	d2a83724a9069b46e88c71af837ec8690bc595a0e90f573333413063ab6e330f	34094	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node1	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_POZ1_NPh21_CF31	SCS-CC2/def2-SVP	ricc2_sing.out	adc2_batch2_final/Hz_POZ1_NPh21_CF31/turbo_sing_scscc2/ricc2_scscc2_sing.out	fd5ec13d8c291fce1388021c9a7ac25c6e6fea9c6b182959c255ba373f2aadcb	61520	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node1	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_POZ1_NPh21_CF31	SCS-CC2/def2-SVP	ricc2_trip.out	adc2_batch2_final/Hz_POZ1_NPh21_CF31/turbo_trip_scscc2/ricc2_scscc2_trip.out	c83d8786a14279edaad3d556ad4ccd2a808b0e58f97ea168094ecd33642cd986	31603	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node1	slurm log not preserved	locally verified	historical batch, no preserved sibling control
Hz_NEt22_CF31	SCS-CC2/def2-SVP	ricc2_sing.out	scscc2_extension_n13/Hz_NEt22_CF31/turbo_sing_scscc2_svp/ricc2_scscc2_sing.out	1e604425fd0eabd22674f6fc57782e489bb94a9222f587e794618c8e1feeb5e1	51649	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
Hz_NEt22_CF31	SCS-CC2/def2-SVP	ricc2_trip.out	scscc2_extension_n13/Hz_NEt22_CF31/turbo_trip_scscc2_svp/ricc2_scscc2_trip.out	241b217ce913d8ec26df17969512f8a07a9551bc55b11dd92dc22132bcb421de	27193	banner-confirmed def2-SVP	CC2+SCS banner present	compute-node hostname=node4	slurm log not preserved	locally verified	preserved sibling control present
