metric	value	provenance
n_total_checked	13	PROCESSED_TABLE_LEVEL
n_sign_agree	13	PROCESSED_TABLE_LEVEL
n_sign_disagree	0	PROCESSED_TABLE_LEVEL
all_scscc2_more_negative_than_adc2	True	PROCESSED_TABLE_LEVEL
shift_abs_min_meV	10.09	PROCESSED_TABLE_LEVEL
shift_abs_max_meV	193.74	PROCESSED_TABLE_LEVEL
shift_abs_mean_meV	109.84	PROCESSED_TABLE_LEVEL
rule_of_three_3_over_n	0.2308	PROCESSED_TABLE_LEVEL
Hz_POZ1_NPh21_CF31_ADC2_meV	-9.71	PROCESSED_TABLE_LEVEL
Hz_POZ1_NPh21_CF31_SCSCC2_meV	-165.57	PROCESSED_TABLE_LEVEL
Hz_NPh21_Cz2_ADC2_meV	-119.0	PROCESSED_TABLE_LEVEL
Hz_NPh21_Cz2_SCSCC2_meV	-129.09	PROCESSED_TABLE_LEVEL
Hz_NPh21_Cz2_abs_diff_meV	10.09	PROCESSED_TABLE_LEVEL
