mol_id,smiles,scaffold_family,source_domain,split_group,adc2_s1_ev,adc2_t1_ev,adc2_dest_ev,adc2_fosc,adc2_available,scscc2_s1_ev,scscc2_t1_ev,scscc2_dest_ev,dft_dest_raw_ev,dft_dest_calibrated_ev,fosc_dft,homo_ev,lumo_ev,hl_gap_ev,homo_m1_ev,lumo_p1_ev,od_index,is_invest,is_near_zero,is_high_fosc
S1,c1cc2cccc3cccc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.0381,1.1983,-0.1603,0.0,True,,,,,,,,,,,,,True,False,False
S2,c1cc2cccc3cncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,0.9222,1.0459,-0.1237,0.0006,True,,,,,,,,,,,,,True,False,False
S3,c1cc2cccc3nccc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3804,1.4912,-0.1107,0.0005,True,,,,,,,,,,,,,True,False,False
S4,c1cc2cccc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5935,1.7419,-0.1484,0.0022,True,,,,,,,,,,,,,True,False,False
S5,c1cc2cccc3nncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5177,1.4277,0.09,0.0001,True,,,,,,,,,,,,,False,True,False
S6,c1cc2cccc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3599,1.4992,-0.1394,0.0002,True,,,,,,,,,,,,,True,False,False
S7,c1cc2ccnc3ccnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7317,1.7968,-0.0651,0.0006,True,,,,,,,,,,,,,True,True,False
S8,c1cc2ccnc3cncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.2941,1.3597,-0.0655,0.0018,True,,,,,,,,,,,,,True,True,False
S9,c1cc2ccnc3cncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.4256,1.5748,-0.1492,0.0003,True,,,,,,,,,,,,,True,False,False
S10,c1cc2ccnc3cnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8155,1.7417,0.0738,0.0012,True,,,,,,,,,,,,,False,True,False
S11,c1cc2ccnc3nccc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5362,1.6859,-0.1498,0.0025,True,,,,,,,,,,,,,True,False,False
S12,c1cc2ccnc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8027,1.9607,-0.158,0.0016,True,,,,,,,,,,,,,True,False,False
S13,c1cc2ccnc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8626,1.9908,-0.1282,0.0038,True,,,,,,,,,,,,,True,False,False
S14,c1cc2ccnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.0412,2.2121,-0.1709,0.0045,True,,,,,,,,,,,,,True,False,False
S15,c1cc2ccnc3nncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.479,1.5381,-0.0591,0.0008,True,,,,,,,,,,,,,True,True,False
S16,c1cc2ccnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8052,1.8681,-0.0629,0.0,True,,,,,,,,,,,,,True,True,False
S17,c1cc2ccnc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6339,1.7647,-0.1308,0.0017,True,,,,,,,,,,,,,True,False,False
S18,c1cc2ccnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8182,2.0021,-0.1839,0.0,True,,,,,,,,,,,,,True,False,False
S19,c1cc2cncc3ccnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3486,1.3544,-0.0058,0.0021,True,,,,,,,,,,,,,True,True,False
S20,c1cc2cncc3ccnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.397,1.4771,-0.0802,0.0064,True,,,,,,,,,,,,,True,True,False
S21,c1cc2cncc3cncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,0.8086,0.9141,-0.1055,0.0005,True,,,,,,,,,,,,,True,False,False
S22,c1cc2cncc3cncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3172,1.2661,0.051,0.0023,True,,,,,,,,,,,,,False,True,False
S23,c1cc2cncc3cnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6135,1.3711,0.2423,0.0005,True,,,,,,,,,,,,,False,False,False
S24,c1cc2cncc3cnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.4216,1.3843,0.0373,0.0032,True,,,,,,,,,,,,,False,True,False
S25,c1cc2cncc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6883,1.6649,0.0234,0.0033,True,,,,,,,,,,,,,False,True,False
S26,c1cc2cncc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.4853,1.5769,-0.0916,0.0039,True,,,,,,,,,,,,,True,True,False
S27,c1cc2cncc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7351,1.789,-0.0538,0.0086,True,,,,,,,,,,,,,True,True,False
S28,c1cc2cncc3nncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5609,1.3938,0.1671,0.001,True,,,,,,,,,,,,,False,False,False
S29,c1cc2cncc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.865,1.7011,0.1639,0.0021,True,,,,,,,,,,,,,False,False,False
S30,c1cc2cncc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.2663,1.3792,-0.1129,0.0003,True,,,,,,,,,,,,,True,False,False
S31,c1cc2cncc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5268,1.615,-0.0882,0.004,True,,,,,,,,,,,,,True,True,False
S32,c1cc2cnnc3ccnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8977,1.7521,0.1457,0.0005,True,,,,,,,,,,,,,False,False,False
S33,c1cc2cnnc3ccnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7684,1.7728,-0.0044,0.0051,True,,,,,,,,,,,,,True,True,False
S34,c1cc2cnnc3cncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3426,1.4105,-0.0679,0.001,True,,,,,,,,,,,,,True,True,False
S35,c1cc2cnnc3cnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.118,1.8201,0.2979,0.0002,True,,,,,,,,,,,,,False,False,False
S36,c1cc2cnnc3cnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.9718,1.8354,0.1364,0.0014,True,,,,,,,,,,,,,False,False,False
S37,c1cc2cnnc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5709,1.6879,-0.117,0.0035,True,,,,,,,,,,,,,True,False,False
S38,c1cc2cnnc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.922,1.8985,0.0236,0.0025,True,,,,,,,,,,,,,False,True,False
S39,c1cc2cnnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.9078,1.9741,-0.0663,0.0076,True,,,,,,,,,,,,,True,True,False
S40,c1cc2cnnc3nncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.2191,1.343,-0.1239,0.0,True,,,,,,,,,,,,,True,False,False
S41,c1cc2cnnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5459,1.6382,-0.0923,0.0017,True,,,,,,,,,,,,,True,True,False
S42,c1cc2cnnc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8335,1.8074,0.0261,0.0018,True,,,,,,,,,,,,,False,True,False
S43,c1cc2cnnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7758,1.8771,-0.1013,0.0004,True,,,,,,,,,,,,,True,False,False
S44,c1cc2nccc3ccnc(c1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.5292,1.7042,-0.175,0.0002,True,,,,,,,,,,,,,True,False,False
S45,c1cc2nccc3cnnc(c1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.3842,1.4706,-0.0865,0.0024,True,,,,,,,,,,,,,True,True,False
S46,c1cc2nccc3nccc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,2.0624,2.1014,-0.039,0.0,True,,,,,,,,,,,,,True,True,False
S47,c1cc2nccc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8524,2.015,-0.1626,0.0006,True,,,,,,,,,,,,,True,False,False
S48,c1cc2nccc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.662,1.7581,-0.096,0.0016,True,,,,,,,,,,,,,True,True,False
S49,c1cc2ncnc3cncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7703,1.8677,-0.0975,0.0021,True,,,,,,,,,,,,,True,True,False
S50,c1cc2ncnc3cnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7509,1.8228,-0.0719,0.0042,True,,,,,,,,,,,,,True,True,False
S51,c1cc2ncnc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.1527,2.2927,-0.14,0.0017,True,,,,,,,,,,,,,True,False,False
S52,c1cc2ncnc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.0927,2.2665,-0.1738,0.0024,True,,,,,,,,,,,,,True,False,False
S53,c1cc2ncnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.3326,2.5414,-0.2088,0.0017,True,,,,,,,,,,,,,True,False,False
S54,c1cc2ncnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.2186,2.2233,-0.0047,0.001,True,,,,,,,,,,,,,True,True,False
S55,c1cc2ncnc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8594,1.9969,-0.1375,0.0025,True,,,,,,,,,,,,,True,False,False
S56,c1cc2ncnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.1257,2.2943,-0.1686,0.0011,True,,,,,,,,,,,,,True,False,False
S57,c1cc2nncc3cncc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.933,1.6844,0.2486,0.0021,True,,,,,,,,,,,,,False,False,False
S58,c1cc2nncc3cnnc(c1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.127,1.2007,-0.0737,0.0027,True,,,,,,,,,,,,,True,True,False
S59,c1cc2nncc3cnnc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.4915,1.4913,0.0002,0.0057,True,,,,,,,,,,,,,False,True,False
S60,c1cc2nncc3nccc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,2.1763,2.0575,0.1188,0.0012,True,,,,,,,,,,,,,False,False,False
S61,c1cc2nncc3ncnc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,2.1134,2.1226,-0.0092,0.0072,True,,,,,,,,,,,,,True,True,False
S62,c1cc2nncc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.4029,2.1324,0.2705,0.0003,True,,,,,,,,,,,,,False,False,False
S63,c1cc2nncc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7246,1.695,0.0295,0.0022,True,,,,,,,,,,,,,False,True,False
S64,c1cc2nncc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.0664,2.0084,0.058,0.005,True,,,,,,,,,,,,,False,True,False
S65,c1cc2nnnc3ccnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7493,1.8985,-0.1492,0.006,True,,,,,,,,,,,,,True,False,False
S66,c1cc2nnnc3cncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6458,1.684,-0.0381,0.0007,True,,,,,,,,,,,,,True,True,False
S67,c1cc2nnnc3cnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6446,1.7503,-0.1057,0.0038,True,,,,,,,,,,,,,True,False,False
S68,c1cc2nnnc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.9641,2.052,-0.0879,0.0038,True,,,,,,,,,,,,,True,True,False
S69,c1cc2nnnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.0458,2.1993,-0.1535,0.0086,True,,,,,,,,,,,,,True,False,False
S70,c1cc2nnnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.1797,2.1357,0.044,0.0022,True,,,,,,,,,,,,,False,True,False
S71,c1cc2nnnc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6294,1.8024,-0.173,0.0007,True,,,,,,,,,,,,,True,False,False
S72,c1cc2nnnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8978,2.0618,-0.164,0.0035,True,,,,,,,,,,,,,True,False,False
S73,c1nc2ccnc3nccc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.037,2.2464,-0.2094,0.0001,True,,,,,,,,,,,,,True,False,False
S74,c1nc2ccnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.88,2.023,-0.143,0.002,True,,,,,,,,,,,,,True,False,False
S75,c1nc2cncc3cncc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.3709,1.4355,-0.0646,0.0044,True,,,,,,,,,,,,,True,True,False
S76,c1nc2cncc3cnnc(n1)-n-3-2,pollice_heptazine_deriv,pollice,source,1.8611,1.7567,0.1043,0.0063,True,,,,,,,,,,,,,False,False,False
S77,c1nc2cncc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.9699,2.062,-0.0921,0.0068,True,,,,,,,,,,,,,True,True,False
S78,c1nc2cncc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7496,1.7728,-0.0231,0.003,True,,,,,,,,,,,,,True,True,False
S79,c1nc2cncc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7535,1.8547,-0.1012,0.0033,True,,,,,,,,,,,,,True,False,False
S80,c1nc2cnnc3cnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.3287,2.205,0.1236,0.0033,True,,,,,,,,,,,,,False,False,False
S81,c1nc2cnnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.2453,2.3332,-0.0879,0.006,True,,,,,,,,,,,,,True,True,False
S82,c1nc2cnnc3nncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.6986,1.8669,-0.1683,0.0009,True,,,,,,,,,,,,,True,False,False
S83,c1nc2cnnc3nnnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.1816,2.2561,-0.0745,0.0005,True,,,,,,,,,,,,,True,True,False
S84,c1nc2ncnc3ncnc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,2.578,2.8559,-0.2779,0.0,True,,,,,,,,,,,,,True,False,False
