mol_id,smiles,scaffold_family,source_domain,split_group,adc2_s1_ev,adc2_t1_ev,adc2_dest_ev,adc2_fosc,adc2_available,scscc2_s1_ev,scscc2_t1_ev,scscc2_dest_ev,dft_dest_raw_ev,dft_dest_calibrated_ev,fosc_dft,homo_ev,lumo_ev,hl_gap_ev,homo_m1_ev,lumo_p1_ev,od_index,is_invest,is_near_zero,is_high_fosc,mw,logp,tpsa,hbd,hba,rot_bonds,aromatic_rings,ring_count,n_count,b_count,o_count,s_count,heteroatom_ratio,heavy_atom_count,num_atoms,fraction_csp3,num_amide_bonds,num_bridgehead_atoms,num_spiro_atoms,num_hetero_cycles,num_aromatic_hetero_cycles,num_saturated_rings,fp_pc1,fp_pc2,fp_pc3,fp_pc4,fp_pc5,fp_pc6,fp_pc7,fp_pc8,fp_pc9,fp_pc10,fp_pc11,fp_pc12,fp_pc13,fp_pc14,fp_pc15,fp_pc16,fp_pc17,fp_pc18,fp_pc19,fp_pc20,fp_pc21,fp_pc22,fp_pc23,fp_pc24,fp_pc25,fp_pc26,fp_pc27,fp_pc28,fp_pc29,fp_pc30,fp_pc31,fp_pc32,homo_spacing,lumo_spacing,stda_s1_ev,stda_t1_ev,stda_dest_ev,stda_fosc
S1,c1cc2cccc3cccc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.0381,1.1983,-0.1603,0.0,True,,,,,,,,,,,,,True,False,False,167.21099999999996,2.6495000000000006,3.24,0,1,0,0,3,1,0,0,0,0.0769230769230769,13,13,0.0,0,0,0,3,0,0,-1.3160910815218445,-1.241285910946436,-0.2138117124763106,-0.0257441527023572,-0.1717253834256967,-1.5444856730920462,-0.035468293101226,-0.6977258834382211,0.6732313299280018,-0.3600802171295184,-0.4263774632568907,0.8411579076120475,0.0927153566884708,0.0761331097230516,-0.3745904654872617,-0.2998215525652931,-0.555295322220372,-0.1222698690721764,0.4276053851437795,-0.106249280813449,-0.2859190809853345,-0.3204096352344785,0.0890302148163472,-0.2599234561098734,0.1645236025175714,0.2219190996161449,-0.6234765516183581,0.0638016631411792,0.1236511127761945,0.4771202028427159,0.0120167820872831,0.0466005040879767,,,,,,
S2,c1cc2cccc3cncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,0.9222,1.0459,-0.1237,0.0006,True,,,,,,,,,,,,,True,False,False,168.19899999999998,2.1216,15.6,0,2,0,0,3,2,0,0,0,0.1538461538461538,13,13,0.0,0,0,0,3,0,0,-1.4168452067398616,-1.1145112736081664,-0.2910105916279509,-0.1060007637655234,-0.2721922161373483,-1.448921930549404,0.1803443062850613,-0.7987442535491124,0.7576706121311593,-0.392860402942257,-0.506352732578276,0.7861504350900923,0.1240651641898024,0.1014828676883796,0.0825063325803291,-0.9469016194033714,-0.6738407801267393,0.2685855233628282,0.6935481745236494,-0.5746284193494913,-0.6286630397899586,-0.2664847943361181,-0.0103733899874967,-0.4975987222997388,0.2087496690046952,0.2187046261645048,-0.2579558820213707,0.1374992906924307,-0.0542589002900717,0.2193924343460904,-0.0565231137496989,0.3118293637838121,,,,,,
S3,c1cc2cccc3nccc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3804,1.4912,-0.1107,0.0005,True,,,,,,,,,,,,,True,False,False,168.19899999999998,2.1216,15.6,0,2,0,0,3,2,0,0,0,0.1538461538461538,13,13,0.0,0,0,0,3,0,0,-1.6065053010082484,-1.3985004485151964,-0.6412968383245193,-0.0881210482060199,-0.3751482503728992,-1.336877911649498,0.5389933446252464,-0.5313839844654968,0.5451734395325116,-0.423141657344206,-0.222431834056528,0.4880681635117209,-0.037861047083485,-0.1892777797377855,0.6397628773737343,-0.8047021222803169,0.0716180371520515,-0.2605360662711859,0.9073284618361612,0.2305578468620194,-0.3397348965638895,-0.4115516462902842,0.0587359932237845,0.2193486449020205,-0.0108657197802655,0.0626934548557176,-0.7085845005361544,-0.0930917775712616,0.3182673012016014,0.3313577289455823,0.1404183856178607,-0.2975521023224717,,,,,,
S4,c1cc2cccc3ncnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5935,1.7419,-0.1484,0.0022,True,,,,,,,,,,,,,True,False,False,169.18699999999998,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.2307692307692307,13,13,0.0,0,0,0,3,0,0,-2.00767623987964,-1.3893506743266093,-1.19761067231377,-0.1511505773223975,-0.6080590827883539,-0.8972432062992397,0.7183472150348515,0.0100321737987096,-0.4938494773220651,-0.1567247766751829,-1.3734548696512667,0.4140198568946447,0.3970773105951498,0.1234560347144708,-0.2624093039444174,-0.4146658964308771,-0.673239436386044,-0.2215331501707763,0.4927151576809837,-0.3371977334411489,-0.5332641729283737,-0.2373511103152978,0.0212057444710442,0.0651211923236587,-0.1104989348716239,-0.1660865449590295,-0.4450810020759556,0.2464756503667134,0.3183823519812578,-0.1155264375063423,0.2021793313652547,-0.5191480308438563,,,,,,
S5,c1cc2cccc3nncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.5177,1.4277,0.09,0.0001,True,,,,,,,,,,,,,False,True,False,169.187,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.2307692307692307,13,13,0.0,0,0,0,3,0,0,-1.4702367906100997,-1.1572625940933416,-0.3104687065737695,0.0027828733972802,-0.0910263260518188,-1.4027895512839113,0.3641870483446754,-0.6554841423297701,0.5699920690902934,-0.39997333209887,-0.7045662340197878,0.6093926419674547,-0.0531152728473213,-0.0133370807690571,0.2644935597081352,-1.1976622827538186,-0.4023415871428808,0.1233146037473448,0.9159680616917388,-0.2657392887075364,-0.6183309139722419,-0.0780666849717155,0.0060792619267628,-0.2662899583369665,-0.0133186121337727,0.1316022811557713,-0.0674283391011073,0.0096581778399137,-0.0732281314251303,0.2256871711180873,0.0378607679211513,0.2229236244706427,,,,,,
S6,c1cc2cccc3nnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.3599,1.4992,-0.1394,0.0002,True,,,,,,,,,,,,,True,False,False,170.17499999999998,1.9326,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-1.5480509590421612,-1.3404778486093725,-0.5654826955811162,0.2333716371072116,0.0176901723185524,-1.726475446621573,0.6677727984655732,-0.5740824067820864,0.3210398710815284,-0.5634387358052679,-0.9746056471148254,0.4277359833266829,0.1241177405800917,0.1422484717075424,0.177141412234316,-1.1071250824822612,-0.6948181624797737,0.3057387014873423,0.6633071636949629,-0.1339505647094104,-0.4751949487621943,0.0871743798884555,-0.1239196663575473,-0.2836548920832488,-0.2043873180420772,-0.1294097152618333,0.2251182315907151,0.3055424180301649,-0.0236294666198125,-0.2101491923097033,0.0455573531456667,0.0314070782400625,,,,,,
S7,c1cc2ccnc3ccnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.7317,1.7968,-0.0651,0.0006,True,,,,,,,,,,,,,True,True,False,169.18699999999998,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.2307692307692307,13,13,0.0,0,0,0,3,0,0,-1.667539425447747,-1.3920007373743988,-0.8253038902940372,-0.0610649902103673,-0.4494179810480043,-1.5193085789628562,0.6576751824518505,-0.6010286038309613,0.5701244004962007,-0.4622863221418698,-0.2717546678149214,0.3213058498581714,0.3763032262407205,0.2768631131417216,-0.4145114643558791,0.1563959421656348,-0.7337084678888177,0.2146482748037792,-0.1041570354458078,-0.0356674208311723,-0.1748836096234304,0.2273579869186069,-0.193391423471231,-0.0294845348160444,-0.2670361499204946,-0.3416876498722849,0.2591717841827069,0.1409326022666511,-0.0260548600473517,-0.3374528290284513,-0.0896909888385885,-0.1907998948192851,,,,,,
S8,c1cc2ccnc3cncc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.2941,1.3597,-0.0655,0.0018,True,,,,,,,,,,,,,True,True,False,169.187,1.5937,27.96,0,3,0,0,3,3,0,0,0,0.2307692307692307,13,13,0.0,0,0,0,3,0,0,-1.7549298625581349,-1.290031434330312,-0.7928849422066379,-0.1787297147635219,-0.5091118576924538,-1.5081040561608527,0.5337400034245348,-0.7917953369437964,0.7580194213681334,-0.5990954441871522,-0.1882501538228667,0.455718426175251,0.3261347748476508,0.3088177570266789,-0.0366048343741508,-0.4394450186117535,-0.8662686693928472,0.6272615323249524,0.1918467157092901,-0.4917270241079532,-0.5317244666283915,0.2206484315299083,-0.2391720937093097,-0.3699463776529007,-0.0958368912724744,-0.0707105921431548,0.4157848873269761,0.0479230240202091,-0.2424679952317607,-0.2537598900889605,-0.0959716741139196,0.2263684159543224,,,,,,
S9,c1cc2ccnc3cncc(n1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.4256,1.5748,-0.1492,0.0003,True,,,,,,,,,,,,,True,False,False,170.175,1.0658,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-1.845266561574693,-1.4002385096208114,-0.9106992454653507,-0.3437526576074778,-0.6876300802164246,-0.7565945695982078,0.4073575620837852,-0.395937628330176,0.5459233904088164,-0.6626664584667559,0.6225262060999159,-0.2905596979198648,-0.0028704424824396,-0.0426547886465039,1.3845776237126832,-0.8331111074423339,0.1446090277925817,0.7840466478110573,0.3583635435229306,-0.1180585965667515,-0.3627533941528927,0.2270684920005982,-0.3876567272065897,0.0293562464326486,-0.2101251473477073,-0.2269353381125205,0.4800059021942914,0.1944987862171849,-0.0936236027078313,-0.6024010828101366,-0.0309049781881387,-0.0738806054681165,,,,,,
S10,c1cc2ccnc3cnnc(c1)-n-2-3,pollice_heptazine_deriv,pollice,source,1.8155,1.7417,0.0738,0.0012,True,,,,,,,,,,,,,False,True,False,170.17499999999998,1.9326,40.32,0,4,0,0,3,4,0,0,0,0.3076923076923077,13,13,0.0,0,0,0,3,0,0,-1.70832768226451,-1.438628026712208,-0.8673302907891866,-0.071751784500661,-0.4734614834265844,-1.600160351922166,0.6725806417395603,-0.666329832551746,0.5884221417387514,-0.5450476047523076,-0.3394935409220169,0.2227765811483043,0.3446327167920947,0.2618086691111451,0.0052669515797247,-0.3667924123935561,-0.8305840598169698,0.546422325142927,0.1757437233573995,-0.3044793780555662,-0.5064589405633373,0.2870908106505956,-0.3144084317576325,-0.2423609382900019,-0.2310427566672968,-0.3455699872074817,0.5526683213124681,0.1538110138894688,-0.270897890919649,-0.4354970585822001,-0.0860176804792675,-0.0001776330464886,,,,,,
