name,SMILES,canonical_SMILES,core_type,fosc,DEST_eV,DEST_raw_eV,MW,source,method,is_INVEST
Hz_NH23,NC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N23,NC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N23,Hz,0.0,-0.185903,0.0488,218.18,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NMe23,CN(C)C1=NC2=NC(N(C)C)=NC3=NC(N(C)C)=NC(=N1)N23,CN(C)C1=NC2=NC(N(C)C)=NC3=NC(N(C)C)=NC(=N1)N23,Hz,0.0,-0.149763,0.1145,302.35,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NEt23,CCN(CC)C1=NC2=NC(N(CC)CC)=NC3=NC(N(CC)CC)=NC(=N1)N23,CCN(CC)C1=NC2=NC(N(CC)CC)=NC3=NC(N(CC)CC)=NC(=N1)N23,Hz,4.1e-05,-0.157684,0.1001,386.51,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NHPh3,c1ccc(NC2=NC3=NC(Nc4ccccc4)=NC4=NC(Nc5ccccc5)=NC(=N2)N34)cc1,c1ccc(NC2=NC3=NC(Nc4ccccc4)=NC4=NC(Nc5ccccc5)=NC(=N2)N34)cc1,Hz,0.0,-0.092334,0.2189,446.48,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NPh23,c1ccc(N(C2=NC3=NC(N(c4ccccc4)c4ccccc4)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N34)c2ccccc2)cc1,c1ccc(N(C2=NC3=NC(N(c4ccccc4)c4ccccc4)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N34)c2ccccc2)cc1,Hz,0.571781,-0.074841,0.2507,674.77,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NPh22_CF31,FC(F)(F)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N32,FC(F)(F)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N32,Hz,0.431669,-0.066865,0.2652,575.56,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NH21_NPh22,NC1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N23,NC1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N23,Hz,0.540929,-0.071046,0.2576,522.58,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NH21_POZ2,NC1=NC2=NC(N3c4ccccc4Oc4ccccc43)=NC3=NC(N4c5ccccc5Oc5ccccc54)=NC(=N1)N23,NC1=NC2=NC(N3c4ccccc4Oc4ccccc43)=NC3=NC(N4c5ccccc5Oc5ccccc54)=NC(=N1)N23,Hz,0.71229,-0.086888,0.2288,550.54,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NH21_Cz2,NC1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,NC1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,0.069769,-0.112247,0.1827,518.54,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NH21_DMAC2,CC1(C)c2ccccc2N(C2=NC3=NC(N)=NC4=NC(N5c6ccccc6C(C)(C)c6ccccc65)=NC(=N2)N34)c2ccccc21,CC1(C)c2ccccc2N(C2=NC3=NC(N)=NC4=NC(N5c6ccccc6C(C)(C)c6ccccc65)=NC(=N2)N34)c2ccccc21,Hz,0.041766,-0.080892,0.2397,602.71,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NMe21_NEt22,CCN(CC)C1=NC2=NC(N(C)C)=NC3=NC(N(CC)CC)=NC(=N1)N23,CCN(CC)C1=NC2=NC(N(C)C)=NC3=NC(N(CC)CC)=NC(=N1)N23,Hz,8.5e-05,-0.152073,0.1103,358.45,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NMe21_NHPh2,CN(C)C1=NC2=NC(Nc3ccccc3)=NC3=NC(Nc4ccccc4)=NC(=N1)N32,CN(C)C1=NC2=NC(Nc3ccccc3)=NC3=NC(Nc4ccccc4)=NC(=N1)N32,Hz,0.019324,-0.060429,0.2769,398.43,this_work,ΔDFT_PBE0/def2-SVP,True
Hz_NMe21_NPh22,CN(C)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N23,CN(C)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N23,Hz,0.587085,-0.071706,0.2564,550.63,this_work,ΔDFT_PBE0/def2-SVP,True
