name,status,S1_eV,T1_eV,DEST_eV,fosc,is_INVEST,FM,S1_method,T1_method,n_singlets,n_triplets
5AP_NEt2_NPh2,complete,2.604510,2.389420,0.215090,0.002885,False,,ADC(2),ADC(2),5,3
Hz_DMAC1_NPh21_CF31,complete,3.224120,3.344460,-0.120340,0.020699,True,0.002491,ADC(2),ADC(2),5,3
Hz_DMAC2_SO2Ph1,complete,3.120680,3.152730,-0.032050,0.002656,True,0.000085,ADC(2),ADC(2),5,3
Hz_NPh21_Cz2,complete,3.323060,3.442510,-0.119450,0.000869,True,0.000104,ADC(2),ADC(2),10,3
Hz_NPh22_SO2Ph1,complete,3.219810,3.315130,-0.095320,0.015331,True,0.001461,ADC(2),ADC(2),5,3
Hz_POZ1_DMAC2,complete,2.458480,2.431790,0.026690,0.226285,False,,ADC(2),ADC(2),9,3
Hz_POZ1_NPh21_CF31,complete,3.216740,3.226450,-0.009710,0.038321,True,0.000372,ADC(2),ADC(2),5,3
Hz_POZ2_CN1,complete,3.077980,3.019440,0.058540,0.186207,False,,ADC(2),ADC(2),10,3
Hz_NPh23,complete,3.425270,3.548080,-0.122810,0.000003,True,0.000000,ADC(2),ADC(2),5,3
POZ-BN,complete,2.785600,2.747040,0.038560,0.102430,False,,ADC(2),ADC(2),5,3
