name,SMILES,core_type,substituent_pattern,MW,fosc,DEST_dDFT,DEST_corrected_linear,DEST_corrected_shift,FM_linear,FM_shift,status,prior_invest_flag_ddft,prior_invest_flag_od,od_eV,adc2_DEST_eV,adc2_fosc_S1,adc2_evidence,scscc2_DEST_eV,scscc2_fosc_S1,evidence_level,display_status,evidence_notes
Hz_NH23,NC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N23,Hz,NH23,218.180000,0.000000,0.048800,-0.185903,-0.222467,0.000000,0.000000,complete,true,false,-1.9602,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_NMe23,CN(C)C1=NC2=NC(N(C)C)=NC3=NC(N(C)C)=NC(=N1)N23,Hz,NMe23,302.350000,0.000000,0.114500,-0.149763,-0.156767,0.000000,0.000000,complete,true,false,-1.0783,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_NEt23,CCN(CC)C1=NC2=NC(N(CC)CC)=NC3=NC(N(CC)CC)=NC(=N1)N23,Hz,NEt23,386.510000,0.000041,0.100100,-0.157684,-0.171167,0.000006,0.000007,complete,true,false,-1.0244,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_NHPh3,c1ccc(NC2=NC3=NC(Nc4ccccc4)=NC4=NC(Nc5ccccc5)=NC(=N2)N34)cc1,Hz,NHPh3,446.480000,0.000000,0.218900,-0.092334,-0.052367,0.000000,0.000000,complete,true,false,-0.7502,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_NPh23,c1ccc(N(C2=NC3=NC(N(c4ccccc4)c4ccccc4)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N34)c2ccccc2)cc1,Hz,NPh23,674.770000,0.571781,0.250700,-0.074841,-0.020567,0.042793,0.011760,complete,true,false,,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_POZ3,c1ccc2c(c1)Oc1ccccc1N2C1=NC2=NC(N3c4ccccc4Oc4ccccc43)=NC3=NC(N4c5ccccc5Oc5ccccc54)=NC(=N1)N23,Hz,POZ3,716.720000,0.588301,0.212200,-0.096019,-0.059067,0.056488,0.034749,complete,true,false,,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_Cz3,c1ccc2c(c1)c1ccccc1n2C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,Cz3,668.720000,0.000000,0.137800,-0.136946,-0.133467,0.000000,0.000000,complete,true,false,-0.8496,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_DMAC3,CC1(C)c2ccccc2N(C2=NC3=NC(N4c5ccccc5C(C)(C)c5ccccc54)=NC4=NC(N5c6ccccc6C(C)(C)c6ccccc65)=NC(=N2)N34)c2ccccc21,Hz,DMAC3,794.970000,0.006775,0.201700,-0.101795,-0.069567,0.000690,0.000471,complete,true,false,,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
Hz_NH22_CN1,N#CC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N32,Hz,NH22_CN1,228.180000,0.022488,0.544800,0.086939,0.273533,0.000000,0.000000,complete,false,false,-2.9085,,,,,,none,,
Hz_NH22_CF31,NC1=NC2=NC(N)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,NH22_CF31,271.170000,0.013920,0.461600,0.041172,0.190333,0.000000,0.000000,complete,false,false,-2.4147,,,,,,none,,
