mol_id,atoms,geom_source,geom_gnorm,batch,ADC2_S1_eV,ADC2_T1_eV,ADC2_dEST_eV,ADC2_dEST_meV,SCSCC2_S1_eV,SCSCC2_T1_eV,SCSCC2_dEST_eV,SCSCC2_dEST_meV,ddEST_meV,abs_ddEST_meV,sign_agree
Hz_NH23,22,hf_calcs,0.00076,historical,,,-0.38346,-383.46,3.99317,4.55104,-0.55787,-557.87,-174.41,174.41,True
Hz_DMAC1_NPh21_CF31,70,adc2_batch2_final,0.00042,historical,,,-0.12034,-120.34,3.46991,3.69024,-0.22033,-220.33,-99.99,99.99,True
Hz_NPh22_SO2Ph1,62,adc2_batch2_final,0.00048,historical,,,-0.09532,-95.32,3.47724,3.69168,-0.21444,-214.44,-119.12,119.12,True
Hz_POZ1_NPh21_CF31,72,adc2_batch2_final,6.6e-05,historical,,,-0.00971,-9.71,3.46277,3.62834,-0.16557,-165.57,-155.86,155.86,True
Hz_NEt22_CF31,47,delta_dft,0.00015,phase2.2,,,-0.03593,-35.93,3.67894,3.79007,-0.11113,-111.13,-75.2,75.2,True
Hz_DMAC2_SO2Ph1,87,delta_dft,8.2e-05,phase2.2,,,-0.03205,-32.05,3.47798,3.70377,-0.22579,-225.79,-193.74,193.74,True
Hz_NH22_SO2Ph1,33,delta_dft,0.00012,phase2.4,,,-0.064,-64.0,3.6036,3.76704,-0.16344,-163.44,-99.44,99.44,True
Hz_DMAC1_NPh21_SO2Ph1,80,delta_dft,6.3e-05,phase2.4,,,-0.066,-66.0,3.47411,3.68269,-0.20858,-208.58,-142.58,142.58,True
Hz_Cz1_NPh21_CF31,61,delta_dft,7.1e-05,phase2.4,,,-0.136,-136.0,3.40203,3.63948,-0.23745,-237.45,-101.45,101.45,True
Hz_NPh23,82,delta_dft,5.6e-05,phase2.4,,,-0.123,-123.0,3.63616,3.86746,-0.2313,-231.3,-108.3,108.3,True
Hz_NPh21_Cz2,78,delta_dft,8.3e-05,phase2.4,,,-0.119,-119.0,3.55742,3.68651,-0.12909,-129.09,-10.09,10.09,True
Hz_NEt21_NPh22,74,delta_dft,0.00014,phase2.4,,,-0.089,-89.0,3.75133,3.90595,-0.15462,-154.62,-65.62,65.62,True
Hz_NPh22_CN1,61,delta_dft,8.1e-05,phase2.4,,,-0.054,-54.0,3.33146,3.4676,-0.13614,-136.14,-82.14,82.14,True
