mol_id,smiles,scaffold_family,predicted_dest_ev,predicted_invest_prob,predicted_near_zero_prob,uncertainty_score,diversity_score,fosc_proxy,acquisition_score,selection_bucket,frozen_date,frozen_version,rank
Hz_NEt21_NPh22,CCN(CC)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N23,Hz,0.0188702974235638,0.3184394032190328,0.6603606895575956,0.0399737504948603,13.501470394704691,0.623411,0.5410361702218451,high_fosc,2026-04-18,v1.0,1
Hz_NH22_SO2Ph1,NC1=NC2=NC(N)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,0.075209885276854,0.0699343074290396,0.616794931736684,0.0509455261496158,113.5217108175276,0.011049,0.5404258187027191,outlier,2026-04-18,v1.0,2
5AP_NEt2_Ph,CCN(CC)c1nc2nc3nccnc3nc2nc1-c1ccccc1,5AP,0.120825470611453,0.1149925678218325,0.3030512628146083,0.1006545797974084,81.39721085188931,0.000118,0.5343570126859581,uncertainty,2026-04-18,v1.0,3
Hz_NPh23,c1ccc(N(C2=NC3=NC(N(c4ccccc4)c4ccccc4)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N34)c2ccccc2)cc1,Hz,0.0262132600881159,0.2514619717208479,0.7188680539181869,0.0391303293395227,8.442128099542437,0.571781,0.5305974237627771,high_fosc,2026-04-18,v1.0,4
Hz_NEt22_CN1,CCN(CC)C1=NC2=NC(C#N)=NC3=NC(N(CC)CC)=NC(=N1)N23,Hz,-0.0466054137796163,0.9475776093396422,0.9159974126015672,0.0287367285298928,86.60427145082492,0.026263,0.521451805965025,outlier,2026-04-18,v1.0,5
5AP_NPh2_Me,Cc1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,0.1129955584183335,0.1290721023673088,0.3191907959106352,0.0999263595310259,57.56982887779457,3.4e-05,0.4950229243408485,uncertainty,2026-04-18,v1.0,6
5AP_NPh22,c1ccc(N(c2ccccc2)c2nc3nc4nccnc4nc3nc2N(c2ccccc2)c2ccccc2)cc1,5AP,0.1171089567244052,0.1151088002561123,0.3153195268486065,0.0976071858092359,55.96534919937711,0.000586,0.4842996227906586,uncertainty,2026-04-18,v1.0,7
Hz_DMAC1_NPh21_SO2Ph1,CC1(C)c2ccccc2N(C2=NC3=NC(S(=O)(=O)c4ccccc4)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N43)c2ccccc21,Hz,0.0148003778420388,0.3725823333087252,0.5967461424323901,0.0455365870718929,20.340600293392864,0.387,0.4747364653687701,high_fosc,2026-04-18,v1.0,8
Hz_POZ1_NPh21_SO2Ph1,O=S(=O)(C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N4c5ccccc5Oc5ccccc54)=NC(=N1)N23)c1ccccc1,Hz,0.0144022852182388,0.3899805190771886,0.5616015184991401,0.0515527618442804,17.114969479389966,0.352577,0.465397948074211,high_fosc,2026-04-18,v1.0,9
5AP_NPh2_OMe,COc1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,0.1341039549559354,0.0866271994499375,0.2779222433238072,0.0984739992051163,41.83265991350861,4.5e-05,0.4505917508890084,uncertainty,2026-04-18,v1.0,10
5AP_NMe2_NPh2,CN(C)c1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,0.1131581390276551,0.1294079952807627,0.3183595031918548,0.100211421396559,28.29671313001011,7.2e-05,0.4440626339065124,uncertainty,2026-04-18,v1.0,11
Hz_NEt22_CF31,CCN(CC)C1=NC2=NC(N(CC)CC)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,-0.0111858213786035,0.5716451072486056,0.4958102217805765,0.0619493311860663,40.716067046925474,0.016843,0.4105185981456767,near_zero,2026-04-18,v1.0,12
Hz_NPh22_CN1,N#CC1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(N(c4ccccc4)c4ccccc4)=NC(=N1)N23,Hz,0.0089675234165042,0.3520217935350556,0.6479206179566129,0.0236069616140878,28.31366325702382,0.253966,0.3960951469397306,near_zero,2026-04-18,v1.0,13
Hz_NMe22_CN1,CN(C)C1=NC2=NC(C#N)=NC3=NC(N(C)C)=NC(=N1)N23,Hz,0.0089382247067987,0.398229259292222,0.5974737632502465,0.034653263955584,45.762193526906174,0.026733,0.3717250156094203,near_zero,2026-04-18,v1.0,14
Hz_NH23,NC1=NC2=NC(N)=NC3=NC(N)=NC(=N1)N23,Hz,0.0091005403781309,0.4140752976493931,0.5708534967857508,0.0419236575751018,35.43147633715895,0.0,0.3586314833935376,near_zero,2026-04-18,v1.0,15
Hz_Cz1_NPh21_CF31,FC(F)(F)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,-0.0066279533784836,0.5612864270727148,0.5463870409287903,0.0429740364610254,18.20542062462717,0.0063,0.3260948512797933,near_zero,2026-04-18,v1.0,16
